word,type,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
refute,verb,/rɪˈfjuːt/,/rɪˈfjuːt/,to prove wrong,Maria refuted the president's argument as she yelled and gesticulated at the TV.,"Bác bỏ, Phản bác, Chứng minh sai","disprove, rebut, invalidate","corroborate, substantiate, confirm"
regurgitate,verb,/rɪˈɡɜːdʒɪteɪt/,/rɪˈɡɜːrdʒɪteɪt/,1. to vomit 2. to throw back exactly,"Feeling sick, Chuck regurgitated his dinner.","nôn, nhả lại","reiterate, reproduce, parrot","originate, innovate, assimilate"
relegate,verb,/ˈrelɪɡeɪt/,/ˈrɛlɪɡeɪt/,1. to assign to the proper place 2. to assign to an inferior place,"At the astrology conference, Simon was relegated to the Scorpio room.","Phân công, bố trí, đẩy xuống","demote, downgrade, abase","promote, elevate, advance"
relish,verb,/ˈrelɪʃ/,/ˈrɛlɪʃ/,to enjoy,Pete always relished his bedtime snack.,"Thưởng thức, tận hưởng","savor, luxuriate, delight","detest, abhor, loathe"
remedial,adjective,/rɪˈmiːdiəl/,/rɪˈmidiəl/,intended to repair gaps in students' basic knowledge,"After his teacher discovered he couldn't read, Alex was forced to enroll in remedial English.","phụ đạo, bổ trợ, bù đắp","corrective, ameliorative, restorative","damaging, deleterious, detrimental"
remiss,adjective,/rɪˈmɪs/,/rɪˈmɪs/,"negligent, failing to take care","The burglar gained entrance because the security guard, remiss in his duties, forgot to lock the door.","sơ suất, lơ là, cẩu thả","derelict, negligent, lax","diligent, meticulous, scrupulous"
renovate,verb,/ˈrɛnəveɪt/,/ˈrɛnəveɪt/,"1. restore, return to original state 2. to enlarge and make prettier, especially a house",The renovated antique candelabra looked as good as new.,"Cải tạo, tân trang, tu sửa","restore, refurbish, overhaul","dilapidate, impair, degrade"
renown,noun,/rɪˈnaʊn/,/rɪˈnaʊn/,"honor, acclaim",The young writer earned international renown by winning the Pulitzer Prize.,"Danh tiếng, vinh quang, tiếng tăm","acclaim, eminence, prestige","obscurity, anonymity, ignominy"
renunciation,noun,/rɪˌnʌnsiˈeɪʃn̩/,/rɪˌnʌnsiˈeɪʃən/,to reject,"Fiona's renunciation of red meat resulted in weight loss, but confused those people who thought she'd been a vegetarian for years.","Sự từ bỏ, Sự khước từ, Sự chối bỏ","abjuration, repudiation, relinquishment","affirmation, acceptance, endorsement"
repentant,adjective,/rɪˈpɛntənt/,/rɪˈpɛntənt/,"penitent, sorry",The repentant Dennis apologized profusely for breaking his mother's vase.,"hối lỗi, ăn năn, hối hận","penitent, contrite, remorseful","unremorseful, unrepentant, impenitent"
replete,adjective,/rɪˈpliːt/,/rɪˈpliːt/,"full, abundant",The unedited version was replete with naughty words.,"đầy rẫy, tràn ngập, đầy","abundant, teeming, overflowing","empty, vacant, devoid"
repose,verb,/rɪˈpəʊz/,/rɪˈpoʊz/,"to rest, lie down","The cat, after eating an entire can of tuna fish, reposed in the sun and took a long nap.","nằm nghỉ, nghỉ ngơi, nằm dài","Tranquility, serenity, quiescence","Tumult, agitation, disquietude"
reprehensible,adjective,/ˌreprɪˈhensəbl/,/ˌreprɪˈhensəbl/,deserving rebuke,Jean's cruel and reprehensible attempt to dump her boyfriend on his birthday led to tears and recriminations.,"Đáng trách, đáng lên án","Culpable, blameworthy, deplorable","Laudable, commendable, exemplary"
reprieve,noun,/rɪˈpriːv/,/rɪˈpriːv/,a temporary delay of punishment,"Because the governor woke up in a particularly good mood, he granted hundreds of reprieves to prisoners.","Hoãn thi hành án, tạm hoãn, ân xá","Respite, deferment, abatement","Sentence, condemnation, persistence"
reproach,verb,/rɪˈprəʊtʃ/,/rɪˈproʊtʃ/,"to scold, disapprove",Brian reproached the customer for failing to rewind the video he had rented.,"Chê trách, Trách mắng, Quở trách","Censure, chide, upbraid","Commendation, laudation, approbation"
reprobate,adjective,/ˈreprəʊbeɪt/,/ˈreprəbeɪt/,"evil, unprincipled",The reprobate criminal sat sneering in the cell.,"Bất lương, Đồi bại, Gian ác","Degenerate, miscreant, profligate","Paragon, exemplar, saint"
reprove,verb,/rɪˈpruːv/,/rɪˈpruːv/,"to scold, rebuke",Lara reproved her son for sticking each and every one of his fingers into the strawberry pie.,"Quở trách, Mắng, Khiển trách","admonish, castigate, upbraid","commend, laud, extol"
repudiate,verb,/rɪˈpjuːdiˌeɪt/,/rɪˈpjuːdiˌeɪt/,"to reject, refuse to accept","Kwame made a strong case for an extension of his curfew, but his mother repudiated it with a few biting words.","Bác bỏ, Cự tuyệt, Từ chối","renounce, disavow, abjure","affirm, endorse, sanction"
repulse,verb,/rɪˈpʌls/,/rɪˈpʌls/,1. to disgust 2. to push back,Antisocial Annie tried to repulse people by neglecting to brush her teeth.,"Làm ghê tởm, đẩy lùi, khước từ","repel, rebuff, spurn","attract, welcome, entice"
reputable,adjective,/ˈrepjʊtəbl̩/,/ˈrepjətəbl̩/,of good reputation,"After the most reputable critic in the industry gave the novel a glowing review, sales took off.","có uy tín, danh giá, đáng tin cậy","esteemed, credible, venerable","disreputable, notorious, infamous"
requisition,noun,/ˌrekwɪˈzɪʃən/,/ˌrekwɪˈzɪʃən/,"a demand for goods, usually made by an authority","During the war, the government made a requisition of supplies.","Trưng dụng, Trưng thu, Lệnh trưng dụng","commandeer, appropriate, procure","forgo, relinquish, surrender"
rescind,verb,/rɪˈsɪnd/,/rɪˈsɪnd/,"to take back, repeal",The company rescinded its offer of employment after discovering that Jane's resume was full of lies.,"Rút lại, hủy bỏ, bãi bỏ","annul, abrogate, revoke","enact, ratify, validate"
reservoir,noun,/ˈrɛzəvwɑː/,/ˈrɛzərvwɑːr/,"1. reserves, large supply 2. a body of water used for storing water","Igor the Indomitable had quite a reservoir of strengh and could lift ten tons, even after running 700 miles, jumping over three mountains, and swimming across an ocean.","hồ chứa, kho, nguồn","repository, cache, stockpile","dearth, scarcity, depletion"
resilient,adjective,/rɪˈzɪliənt/,/rɪˈzɪliənt/,able to recover from misfortune; able to withstand adversity,The resilient ballplayer quickly recovered from his wrist injury.,"Kiên cường, Bền bỉ, Có sức bật","buoyant, elastic, pliable","fragile, brittle, delicate"
resolute,adjective,/ˈrɛzəluːt/,/ˈrɛzəluːt/,"firm, determined","With a resolute glint in her eye, Catherine announced that she was set on going to college in New York City even though she was a little frightened of tall buildings.","Kiên quyết, Quyết tâm, Vững vàng","steadfast, unwavering, staunch","wavering, irresolute, hesitant"
resolve,verb,/rɪˈzɒlv/,/rɪˈzɑːlv/,1. to find a solution 2. to firmly decide,Sarah and Emma resolved their differences and shook hands.,"Giải quyết, hòa giải, tháo gỡ
Quyết định, kiên quyết, hạ quyết tâm","ascertain, determine, conciliate","muddle, confound, exacerbate"
respite,noun,/ˈrɛspaɪt/,/ˈrɛspaɪt/,"a break, rest",Justin left the pub to gain a brief respite from the smoke and noise.,"sự tạm nghỉ, thời gian nghỉ ngơi, khoảnh khắc thư giãn","hiatus, intermission, moratorium","continuation, exertion, burden"
resplendent,adjective,/rɪˈsplɛndənt/,/rɪˈsplɛndənt/,"shiny, glowing",The partygoers were resplendent in diamonds and fancy dress.,"Lộng lẫy, Rực rỡ, Chói lọi","magnificent, lustrous, radiant","dull, dim, dreary"
restitution,noun,/ˌrɛstɪˈtjuːʃən/,/ˌrɛstɪˈtuːʃən/,restoration to the rightful owner,Many people feel that descendants of slaves should receive restitution for the sufferings of their ancestors.,"Bồi thường, Đền bù, Hoàn trả","compensation, indemnification, redress","deprivation, confiscation, forfeiture"
restive,adjective,/ˈrɛstɪv/,/ˈrɛstɪv/,"resistant, stubborn, impatient",The restive audience pelted the band with mud and yelled nasty comments.,"kích động, bất phục, bướng bỉnh","skittish, fractious, recalcitrant","calm, tranquil, docile"
retract,verb,/rɪˈtrækt/,/rɪˈtrækt/,withdraw,"As the media worked itself into a frenzy, the publicist hurriedly retracted his client's sexist statement.","Rút lại, Rút lời, Thu hồi","recant, disavow, repudiate","affirm, corroborate, assert"
revel,verb,/ˈrɛvəl/,/ˈrɛvəl/,to enjoy intensely,Theodore reveled in his new status as Big Man on Campus.,"Tận hưởng, say sưa, khoái chí","luxuriate, carouse, wallow","mourn, lament, grieve"
revere,verb,/rɪˈvɪə/,/rɪˈvɪər/,"to esteem, show deference, venerate",The doctor saved countless lives with his combination of expertise and kindness and became universally revered.,"Tôn kính, Kính trọng, Kính yêu","venerate, idolize, esteem","disdain, execrate, contemn"
revoke,verb,/rɪˈvəʊk/,/rɪˈvoʊk/,to take back,"After missing the curfew set by the court for eight nights in a row, Marcel's freedom of movement was revoked.","Thu hồi, Hủy bỏ, Rút lại","rescind, annul, abrogate","institute, enact, validate"
rhapsodize,verb,/ˈræpsədaɪz/,/ˈræpsədaɪz/,to engage in excessive enthusiasm,"The critic rhapsodized about the movie, calling it an instant classic.","Tán dương hết lời, Ca tụng hết lời, Hết lời ca ngợi","extol, gush, effuse","criticize, disparage, censure"
ribald,adjective,/ˈrɪbəld/,/ˈrɪbəld/,"coarsely, crudely humorous","While some giggled at the ribald joke involving a parson's daughter, most sighed and rolled their eyes.","tục tĩu, thô tục, khiếm nhã","lewd, salacious, bawdy","decorous, seemly, proper"
rife,adjective,/raɪf/,/raɪf/,abundant,"Surprisingly, the famous novelist's writing was rife with spelling errors.","đầy rẫy, tràn lan, nhan nhản","prevalent, ubiquitous, rampant","scarce, rare, limited"
ruminate,verb,/ˈruːmɪneɪt/,/ˈruːmɪneɪt/,"to contemplate, reflect","Terry liked to ruminate while sitting on the banks of the river, staring pensively into the water.","Trầm tư, suy tư, nghiền ngẫm","ponder, cogitate, deliberate","disregard, dismiss, ignore"
ruse,noun,/ruːz/,/ruːz/,a trick,Oliver concocted an elaborate ruse for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed.,"mánh khóe, mưu mẹo, thủ đoạn","stratagem, ploy, subterfuge","candor, honesty, frankness"
saccharine,adjective,/ˈsækərɪn/,/ˈsækərɪn/,sickeningly sweet,"Tom's saccharine manner, although intended to make him popular, actually repelled his classmates.","Ngọt xớt, thảo mai, sến","cloying, mawkish, treacly","acerbic, trenchant, pungent"
sacrosanct,adjective,/ˈsækrəʊsæŋkt/,/ˈsækroʊsæŋkt/,"holy, something that should not be criticized","In the United States, the Constitution is often thought of as a sacrosanct document.","thiêng liêng, bất khả xâm phạm, thánh thiêng","inviolable, hallowed, consecrated","profane, secular, contemptible"
sagacity,noun,/səˈɡæsɪti/,/səˈɡæsɪti/,"shrewdness, soundness of perspective","With remarkable sagacity, the wise old man predicted and thwarted his children's plan to ship him off to a nursing home.","Sự khôn ngoan, sự sáng suốt, sự minh mẫn","perspicacity, discernment, prudence","folly, imprudence, obtuseness"
salient,adjective,/ˈseɪliənt/,/ˈseɪliənt/,"significant, conspicuous",One of the salient differences between Alison and Nancy is that Alison is a foot taller.,"nổi bật, rõ rệt, quan trọng","conspicuous, prominent, paramount","insignificant, inconspicuous, subordinate"
salutation,noun,/ˌsæljʊˈteɪʃən/,/ˌsæljuˈteɪʃən/,a greeting,"Andrew regularly began letters with the bizarre salutation ""Ahoy ahoy.""","Lời chào, Lời chào hỏi","greeting, address, welcome","farewell, adieu, valediction"
salve,noun,/sɑːv/,/sælv/,a soothing balm,"After Tony applied a salve to his brilliant red sunburn, he soon felt a little better.","Thuốc mỡ, cao xoa, kem bôi","balm, anodyne, solace","irritant, aggravation, exacerbation"
sanctimonious,adjective,/ˌsæŋktɪˈməʊniəs/,/ˌsæŋktɪˈmoʊniəs/,giving a hypocritical appearance of piety,"The sanctimonious Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side.","Đạo đức giả, làm bộ làm tịch, ra vẻ ta đây","hypocritical, self-righteous, pharisaical","humble, sincere, genuine"
sanguine,adjective,/ˈsæŋ.ɡwɪn/,/ˈsæŋ.ɡwɪn/,"optimistic, cheery","Polly reacted to any bad news with a sanguine smile and the chirpy cry, ""When life hands you lemons, make lemonade!""","lạc quan, vui vẻ","optimistic, ebullient, buoyant","melancholic, pessimistic, despondent"
satiate,verb,/ˈseɪ.ʃi.eɪt/,/ˈseɪ.ʃi.eɪt/,to satisfy excessively,"Satiated after eating far too much turkey and stuffing, Liza lay on the couch watching football and suffering from stomach pains.","Làm no nê, Gây bội thực, Khiến no ứ ự","sate, surfeit, cloy","starve, deprive, famish"
scathing,adjective,/ˈskeɪ.ðɪŋ/,/ˈskeɪ.ðɪŋ/,"sharp, critical, hurtful","Two hours after breaking up with Russell, Suzanne thought of the perfect scathing retort to his accusations.","Cay độc, gay gắt, sắc bén","vitriolic, trenchant, acerbic","laudatory, complimentary, effusive"
scintillating,adjective,/ˈsɪn.tɪ.leɪ.tɪŋ/,/ˈsɪn.tɪ.leɪ.tɪŋ/,sparkling,The ice skater's scintillating rhinestone costume nearly blinded the judges.,"lấp lánh, sáng chói, rực rỡ","effervescent, incisive, vivacious","dull, pedestrian, lackluster"
scrupulous,adjective,/ˈskruː.pjə.ləs/,/ˈskruː.pjə.ləs/,"painstaking, careful","With scrupulous care, Sam cut a snowflake out of white paper.","tỉ mỉ, cẩn thận, kỹ lưỡng","meticulous, fastidious, conscientious","careless, slipshod, unscrupulous"
scurrilous,adjective,/ˈskʌrələs/,/ˈskɜːrələs/,"vulgar, coarse","When Bruno heard the scurrilous accusation being made about him, he could not believe it because he always tried to be nice to everyone.","Thô tục, tục tĩu, cộc cằn","vitriolic, opprobrious, calumnious","decorous, laudatory, complimentary"
sedentary,adjective,/ˈsɛdntəri/,/ˈsɛdnˌtɛri/,"sitting, settled",The sedentary cat did little but loll in the sun.,"Ít vận động, thụ động, ngồi nhiều","inactive, quiescent, static","active, kinetic, mobile"
semaphore,noun,/ˈsɛməfɔː/,/ˈsɛməfɔːr/,a visual signal,Anne and Diana communicated with a semaphore involving candles and window shades.,"Tín hiệu thị giác, Tín hiệu bằng mắt, Ký hiệu báo tin","signal, gesticulate, convey","obscure, conceal, suppress"
seminal,adjective,/ˈsɛmɪnl/,/ˈsɛmɪnl/,"original, important, creating a field","Stephen Greenblatt's essays on Shakespeare proved to be seminal, because they initiated the critical school of New Historicism.","Mang tính khai phá, mang tính nền tảng, mang tính tiên phong","formative, foundational, pioneering","derivative, trivial, inconsequential"
sensual,adjective,/ˈsɛnʃuəl/,/ˈsɛnʃuəl/,"involving sensory gratification, usually related to sex","With a coy smile, the guest on the blind-date show announced that he considered himself a very sensual person.","Nhục cảm, gợi tình, gợi cảm","carnal, epicurean, hedonistic","ascetic, spiritual, chaste"
sensuous,adjective,/ˈsɛnʃuəs/,/ˈsɛnʃuəs/,involving sensory gratification,"Paul found drinking Coke, with all the little bubbles bursting on his tongue, a very sensuous experience.","Mê ly, khoái khẩu, đậm đà","aesthetic, tactile, voluptuous","intellectual, abstract, austere"
serendipity,noun,/ˌsɛrənˈdɪpɪti/,/ˌsɛrənˈdɪpɪt̬i/,"luck, finding good things without looking for them","In an amazing bit of serendipity, penniless Paula found a $20 bill in the subway station.","Cơ may, Vận may, May mắn bất ngờ","fortuity, chance, kismet","misfortune, design, plan"
serene,adjective,/sɪˈriːn/,/səˈriːn/,"calm, untroubled","Louise stood in front of the Mona Lisa, puzzling over the famous woman's serene smile.","Thanh thản, Điềm tĩnh, Bình yên","tranquil, placid, unruffled","agitated, turbulent, frenzied"
servile,adjective,/ˈsɜːvaɪl/,/ˈsɜːrvəl/,subservient,"The servile porter crept around the hotel lobby, bowing and quaking before the guests.","Khúm núm, khép nép","obsequious, fawning, sycophantic","dominant, assertive, imperious"
sinuous,adjective,/ˈsɪnjuəs/,/ˈsɪnjuəs/,"lithe, serpentine","With the sinuous movements of her arms, the dancer mimicked the motion of a snake.","Uốn lượn, uyển chuyển","winding, serpentine, undulating","straight, linear, direct"
sobriety,noun,/səˈbraɪəti/,/soʊˈbraɪəti/,"sedate, calm",Jason believed that maintaining his sobriety in times of crisis was the key to success in life.,"Bình tĩnh, điềm tĩnh","gravity, solemnity, temperance","inebriation, frivolity, indulgence"
solicitous,adjective,/səˈlɪsɪtəs/,/səˈlɪsɪtəs/,"concerned, attentive","Jim, laid up in bed with a nasty virus, enjoyed the solicitous attentions of his mother, who brought him soup and extra blankets.","ân cần, chu đáo, quan tâm","concerned, attentive, assiduous","indifferent, nonchalant, apathetic"
solipsistic,adjective,/ˌsɒlɪpˈsɪstɪk/,/ˌsɑːlɪpˈsɪstɪk/,believing that oneself is all that exists,Colette's solipsistic attitude completely ignored the plight of the homeless people on the street.,"Duy ngã, vị kỷ, ích kỷ","egocentric, narcissistic, self-absorbed","altruistic, communal, empathetic"
soluble,adjective,/ˈsɒljəbl/,/ˈsɑːljəbl/,able to dissolve,The plot of the spy film revolved around an untraceable and water-soluble poison.,"tan được, hòa tan được, hòa tan","dissolvable, explicable, resolvable","insoluble, intractable, inscrutable"
solvent,"noun, adjective",/ˈsɒlvənt/,/ˈsɑːlvənt/,1. a substance that can dissolve other substances 2. able to pay debts,Water is sometimes called the universal solvent because almost all other substances can dissolve into it.,"dung môi, có khả năng thanh toán","financially sound, secure, affluent","bankrupt, insolvent, impecunious"
somnolent,adjective,/ˈsɒmnələnt/,/ˈsɑːmnələnt/,"sleepy, drowsy",The somnolent student kept falling asleep and waking up with a jerk.,"buồn ngủ, lờ đờ, gật gù","lethargic, languid, quiescent","vivacious, alert, vigilant"
sophomoric,adjective,/ˌsɒfəˈmɒrɪk/,/ˌsɑːfəˈmɔrɪk/,"immature, uninformed",The mature senior rolled her eyes at the sophomoric gross-out humor of the underclassman.,"Trẻ con, non nớt, thiếu chín chắn","puerile, callow, jejune","judicious, sagacious, mature"
sovereign,adjective,/ˈsɒvrɪn/,/ˈsɑːvrɪn/,having absolute authority in a certain realm,"The sovereign queen, with steely resolve, ordered that the traitorous nobleman be killed.","Tối cao, Tuyệt đối, Toàn quyền","paramount, autonomous, preeminent","subordinate, dependent, subservient"
speculative,adjective,/ˈspɛkjʊlətɪv/,/ˈspɛkjələtɪv/,not based in fact,"Sadly, Tessa was convicted on merely speculative evidence.","Vô căn cứ, suy đoán, thiếu căn cứ","conjectural, hypothetical, theoretical","factual, verified, empirical"
spurious,adjective,/ˈspjʊəriəs/,/ˈspjʊriəs/,false but designed to seem plausible,"Using a spurious argument, John convinced the others that he had won the board game on a technicality.","Ngụy biện, Bịa đặt, Giả tạo","fallacious, specious, meretricious","authentic, genuine, veracious"
stagnate,verb,/stæɡˈneɪt/,/stæɡˈneɪt/,"to become or remain inactive, not develop, not flow","With no room for advancement, the waiter's career stagnated.","đình trệ, chững lại, dậm chân tại chỗ","languish, fester, decline","flourish, progress, thrive"
staid,adjective,/steɪd/,/steɪd/,"sedate, serious, self-restrained",The staid butler never changed his expression no matter what happened.,"Nghiêm nghị, Điềm đạm, Trầm tĩnh","sedate, decorous, demure","flamboyant, boisterous, vivacious"
stingy,adjective,/ˈstɪndʒi/,/ˈstɪndʒi/,"not generous, not inclined to spend or give","Scrooge's stingy habits did not fit with the generous, giving spirit of Christmas.","keo kiệt, bủn xỉn, hà tiện","parsimonious, penurious, avaricious","lavish, munificent, benevolent"
stoic,adjective,/ˈstəʊɪk/,/ˈstoʊɪk/,unaffected by passion or feeling,Penelope's faithfulness to Odysseus required that she be stoic and put off her many suitors.,"Bình thản, điềm tĩnh, kiên cường","impassive, phlegmatic, dispassionate","emotional, demonstrative, effusive"
stolid,adjective,/ˈstɒlɪd/,/ˈstɑːlɪd/,"expressing little sensibility, unemotional",Charles's stolid reaction to his wife's funeral differed from the passion he showed at the time of her death.,"Vô cảm, dửng dưng, lạnh lùng","impassive, phlegmatic, bovine","animated, expressive, vivacious"
strenuous,adjective,/ˈstrenjʊəs/,/ˈstrenjuəs/,requiring tremendous energy or stamina,Running a marathon is quite a strenuous task. So is watching an entire Star Trek marathon.,"gian khổ, vất vả, cực nhọc","arduous, laborious, exacting","effortless, facile, trivial"
strident,adjective,/ˈstraɪdənt/,/ˈstraɪdənt/,"harsh, loud","A strident man, Captain Von Trapp yelled at his daughter and made her cry.","Gay gắt, Chói tai, Đanh","raucous, cacophonous, grating","subdued, mellifluous, dulcet"
stupefy,verb,/ˈstjuːpɪfaɪ/,/ˈstuːpɪfaɪ/,"to astonish, make insensible","Veronica's audacity and ungratefulness stupefied her best friend, Heather.","làm sững sờ, khiến ngỡ ngàng, làm choáng váng","bewilder, disorient, dumbfound","enlighten, clarify, inform"
subjugate,verb,/ˈsʌbdʒuɡeɪt/,/ˈsʌbdʒuɡeɪt/,"to bring under control, subdue",The invading force captured and subjugated the natives of that place.,"Chinh phục, khuất phục, đô hộ","vanquish, dominate, conquer","liberate, emancipate, release"
sublime,adjective,/səˈblaɪm/,/səˈblaɪm/,"lofty, grand, exalted",The homeless man sadly pondered his former wealth and once sublime existence.,"Huy hoàng, cao sang, vinh quang","transcendent, ethereal, exalted","ignoble, base, mundane"
submissive,adjective,/sʌbˈmɪsɪv/,/səbˈmɪsɪv/,easily yielding to authority,"In some cultures, wives are supposed to be submissive and support their husbands in all matters.","Phục tùng, Vâng lời, Dễ bảo","docile, deferential, obsequious","rebellious, defiant, assertive"
succinct,adjective,/səˈsɪŋkt/,/səˈsɪŋkt/,marked by compact precision,The governor's succinct speech energized the crowd while the mayor's rambled on and on.,"súc tích, ngắn gọn, cô đọng","concise, terse, pithy","verbose, prolix, circuitous"
superfluous,adjective,/suːˈpɜːfluəs/,/suːˈpɜːrfluəs/,exceeding what is necessary,Tracy had already won the campaign so her constant flattery of others was superfluous.,"thừa, không cần thiết, dư thừa","redundant, excessive, extraneous","essential, indispensable, crucial"
surfeit,noun,/ˈsɜːfɪt/,/ˈsɜːrfɪt/,an overabundant supply or indulgence,"After partaking of the surfeit of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick.","Bội thực, Sự thừa mứa, Sự dồi dào quá mức","plethora, superfluity, glut","dearth, scarcity, paucity"
surmise,verb,/səˈmaɪz/,/sərˈmaɪz/,to infer with little evidence,"After speaking to only one of the students, the teacher was able to surmise what had caused the fight.","Phỏng đoán, Suy đoán","infer, conjecture, deduce","ascertain, verify, substantiate"
surreptitious,adjective,/ˌsʌrəpˈtɪʃəs/,/ˌsɜːrəpˈtɪʃəs/,stealthy,The surreptitious CIA agents were able to get in and out of the house without anyone noticing.,"Lén lút, bí mật, thầm lén","clandestine, furtive, covert","overt, blatant, transparent"
surrogate,noun,/ˈsʌrəɡət/,/ˈsɜːrəɡət/,one acting in place of another,The surrogate carried the child to term for its biological parents.,"Người mang thai hộ, người thay thế","proxy, substitute, delegate","original, principal, authentic"
swarthy,adjective,/ˈswɔːði/,/ˈswɔːrði/,of dark color or complexion,"When he got drunk, Robinson's white skin became rather swarthy.","Ngăm đen, sạm, sẫm màu","dusky, dark-complexioned, bronzed","pale, fair, pallid"
sycophant,noun,/ˈsɪkəfənt/,/ˈsɪkəfənt/,one who flatters for self-gain,"Some see the people in the cabinet as the president's closest advisors, but others see them as sycophants.","Kẻ nịnh hót, nịnh thần, kẻ bợ đỡ","toady, flatterer, obsequious","critic, detractor, adversary"
tacit,adjective,/ˈtæsɪt/,/ˈtæsɪt/,expressed without words,I interpreted my parents' refusal to talk as a tacit acceptance of my request.,"ngầm, mặc nhiên","implicit, unstated, unspoken","explicit, expressed, stated"
taciturn,adjective,/ˈtæsɪtɜːn/,/ˈtæsɪtɜːrn/,not inclined to talk,"Though Jane never seems to stop talking, her brother is quite taciturn.","ít nói, trầm lặng","reticent, laconic, reserved","loquacious, garrulous, voluble"
tangential,adjective,/tænˈdʒɛnʃəl/,/tænˈdʒɛnʃəl/,"incidental, peripheral, divergent","I tried to discuss my salary, but the boss kept veering off into tangential topics.","lạc đề, ngoài lề, không liên quan","peripheral, digressive, extraneous","central, integral, pertinent"
tantamount,adjective,/ˈtæntəmaʊnt/,/ˈtæntəmaʊnt/,equivalent in value or significance,"When it comes to sports, fearing your opponent is tantamount to losing.","tương đương, chẳng khác gì, như thể","commensurate, equivalent, analogous","disparate, dissimilar, divergent"
tedious,adjective,/ˈtiːdiəs/,/ˈtiːdiəs/,"dull, boring","As time passed and the history professor continued to drone on and on, the lecture became increasingly tedious.","Tẻ nhạt, Nhàm chán, Buồn tẻ","monotonous, laborious, prosaic","engaging, captivating, exhilarating"
temerity,noun,/tɪˈmɛrəti/,/təˈmɛrəti/,"audacity, recklessness",Tom and Huck entered the scary cave armed with nothing but their own temerity.,"Sự liều lĩnh, Sự táo bạo, Sự cả gan","audacity, effrontery, impudence","timidity, diffidence, circumspection"
temperance,noun,/ˈtɛmpərəns/,/ˈtɛmpərəns/,moderation in action or thought,Maintaining temperance will ensure that you are able to think rationally and objectively.,"Tiết độ, chừng mực, điềm đạm","moderation, abstinence, sobriety","indulgence, excess, profligacy"
tenable,adjective,/ˈtɛnəbəl/,/ˈtɛnəbəl/,able to be defended or maintained,"The department heads tore down the arguments in other people's theses, but Johari's work proved to be quite tenable.","Có thể bảo vệ được, Vững chắc, Có cơ sở","defensible, justifiable, plausible","indefensible, unsustainable, fallacious"
tenuous,adjective,/ˈtɛnjuːəs/,/ˈtɛnjuəs/,having little substance or strength,"Your argument is very tenuous, since it relies so much on speculation and hearsay.","Mỏng manh, thiếu căn cứ, không vững chắc","flimsy, precarious, insubstantial","robust, substantial, firm"
terrestrial,adjective,/təˈrɛstriəl/,/təˈrɛstriəl/,relating to the land,Elephants are terrestrial animals.,"trên cạn, thuộc đất liền","earthly, mundane, telluric","celestial, extraterrestrial, ethereal"
timorous,adjective,/ˈtɪmərəs/,/ˈtɪmərəs/,"timid, fearful","When dealing with the unknown, timorous Tallulah almost always broke into tears.","Sợ sệt, nhút nhát, rụt rè","timid, diffident, pusillanimous","audacious, intrepid, dauntless"
tirade,noun,/ˈtaɪreɪd/,/ˈtaɪreɪd/,a long speech marked by harsh or biting language,"Every time Jessica was late, her boyfriend went into a long tirade about punctuality.","tràng chỉ trích gay gắt, lời mắng mỏ xối xả, bài ca lên án","diatribe, harangue, fulmination","encomium, panegyric, eulogy"
toady,noun,/ˈtəʊdi/,/ˈtoʊdi/,one who flatters in the hope of gaining favors,The other kids referred to the teacher's pet as the Tenth Grade Toady.,"Kẻ nịnh hót, Kẻ bợ đỡ, Người luồn cúi","sycophant, fawner, lickspittle","contrarian, iconoclast, maverick"
tome,noun,/təʊm/,/toʊm/,a large book,"In college, I used to carry around an anatomy book that was the heaviest tome in my bag.","Cuốn sách dày cộp, tác phẩm đồ sộ, tập sách lớn","volume, treatise, compendium","pamphlet, abridgment, digest"
torpid,adjective,/ˈtɔːpɪd/,/ˈtɔːrpɪd/,"lethargic, dormant, lacking motion","The torpid whale floated, wallowing in the water for hours.","lờ đờ, bất động, chậm chạp","lethargic, sluggish, inert","vivacious, dynamic, ebullient"
torrid,adjective,/ˈtɒrɪd/,/ˈtɔːrɪd/,"giving off intense heat, passionate",I didn't want to witness the neighbor's torrid affair through the window.,"Nồng nàn, mặn nồng, say đắm","scorching, ardent, fervent","frigid, temperate, impassive"
tortuous,adjective,/ˈtɔːtʃuəs/,/ˈtɔrtʃuəs/,winding,"The scary thing about driving in mountains are the narrow, tortuous roads.","quanh co, khúc khuỷu, ngoằn ngoèo","circuitous, labyrinthine, convoluted","straightforward, direct, linear"
tractable,adjective,/ˈtræktəbl/,/ˈtræktəbl/,easily controlled,"The horse was so tractable, Myra didn't even need a bridle.","Dễ bảo, ngoan ngoãn, thuần","docile, amenable, compliant","recalcitrant, obdurate, intractable"
tranquil,adjective,/ˈtræŋkwɪl/,/ˈtræŋkwɪl/,calm,There is a time of night when nothing moves and everything is tranquil.,"yên tĩnh, thanh bình, tĩnh lặng","serene, placid, quiescent","tumultuous, boisterous, agitated"
