word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
interregnum,noun,c2,/ˌɪntəˈrɛɡnəm/,/ˌɪntərˈrɛɡnəm/,A time in between two reigns or regimes during which there is no ruler; a period during which government does not function; any period of freedom from authority or break or interruption in a series,"During the interregnum between the two rulers, the country faced political uncertainty.","Thời kỳ không vua, Thời kỳ gián đoạn chính quyền, Khoảng trống quyền lực","hiatus, abeyance, lacuna","continuity, stability, sovereignty"
intransigent,adjective,c2,/ɪnˈtrænsɪdʒənt/,/ɪnˈtrænsɪdʒənt/,"Refusing to compromise, inflexible, having extreme attitudes","The committee remained intransigent in its refusal to compromise, leading to a stalemate.","Không khoan nhượng, Ngoan cố, Bất di bất dịch","uncompromising, obdurate, adamant","amenable, conciliatory, pliant"
inundate,verb,c2,/ˈɪnʌndeɪt/,/ˈɪnəndeɪt/,"Flood, cover with water, overwhelm","After the concert tickets went on sale, the website was inundated with purchase requests.","Tràn ngập, ngập lụt, áp đảo","overwhelm, deluge, engulf","drain, deplete, relieve"
inure,verb,c2,/ɪˈnjʊə/,/ɪˈnʊər/,"Toughen up; accustom or habituate to pain, hardship, etc.",Growing up in a harsh environment helped him inure himself to hardship and adversity.,"Tôi luyện, Chai lì, Quen chịu đựng","acclimatize, habituate, fortify","sensitize, enervate, debilitate"
invective,noun,c2,/ɪnˈvɛktɪv/,/ɪnˈvɛktɪv/,"Violent denunciation; accusations, insults, or verbal abuse","The politician's speech was full of invective, denouncing his rivals with bitter criticism.","Mạt sát, Lăng mạ, Chửi rủa","vituperation, obloquy, denunciation","eulogy, panegyric, laudation"
inveigle,verb,c2,/ɪnˈveɪɡl/,/ɪnˈveɪɡl/,"Entice, lure; get something by flattery, cleverness, or offering incentives",She tried to inveigle her way into the exclusive party by flattering the doorman.,"Dụ dỗ, Mê hoặc, Dỗ ngọt","cajole, wheedle, beguile","deter, dissuade, discourage"
investiture,noun,c2,/ɪnˈvestɪtʃə/,/ɪnˈvestɪtʃər/,Investing; formally giving someone a right or title,The investiture ceremony for the new president was a solemn and dignified event.,"Lễ tấn phong, Lễ nhậm chức, Lễ phong chức","conferment, bestowal, inauguration","revocation, dethronement, forfeiture"
invidious,adjective,c2,/ɪnˈvɪdiəs/,/ɪnˈvɪdiəs/,"Hateful, offensive, injurious",She was placed in the invidious position of having to choose between her two best friends.,"Gây căm ghét, bất công, xúc phạm","odious, pernicious, repugnant","commendable, equitable, propitious"
irascible,adjective,c2,/ɪˈræskəbl/,/ɪˈræskəbl/,"Irritable, easily angered",The irascible old man was known for his frequent outbursts of temper.,"Dễ cáu bẳn, Nóng nảy, Cáu kỉnh","choleric, cantankerous, splenetic","imperturbable, equanimous, phlegmatic"
itinerant,adjective,c2,/aɪˈtɪnərənt/,/aɪˈtɪnərənt/,"Traveling from place to place, esp. as part of a job","The itinerant musician traveled from city to city, performing wherever he could find an audience.","du mục, lưu động, lang thang","Nomadic, Peripatetic, Migratory","Sedentary, Stationary, Settled"
itinerary,noun,c2,/aɪˈtɪnərəri/,/aɪˈtɪnəreri/,Travel schedule; detailed plan for a journey,Our travel agent helped us plan a detailed itinerary for our trip to Southeast Asia.,"Lịch trình, Kế hoạch chuyến đi, Chương trình du lịch","programme, schedule, blueprint","spontaneity, improvisation, haphazardness"
jettison,verb,c2,/ˈdʒetɪsən/,/ˈdʒetɪsən/,"Discard, cast off; throw items overboard in order to lighten a ship in an emergency",The captain made the difficult decision to jettison the excess fuel to prevent an explosion.,"Vứt bỏ, xả bỏ, từ bỏ","relinquish, divest, eschew","embrace, uphold, cherish"
jingoism,noun,c2,/ˈdʒɪŋɡəʊɪzəm/,/ˈdʒɪŋɡoʊɪzəm/,"Excessive, loud patriotism and aggressive, warlike foreign policy","The politician's speech was full of jingoism, appealing to extreme patriotism and a willingness to go to war.","Chủ nghĩa sô vanh, Chủ nghĩa dân tộc cực đoan, Chủ nghĩa hiếu chiến","chauvinism, militarism, bellicism","pacifism, internationalism, cosmopolitanism"
juxtapose,verb,c2,/ˈdʒʌkstəpəʊz/,/ˈdʒʌkstəpoʊz/,"Place side by side (either physically or in a metaphorical way, such as to make a comparison)",The photographer chose to juxtapose the ancient ruins with modern skyscrapers to create a striking contrast.,"Đặt cạnh nhau, Đối chiếu, So sánh","contrast, appose, counterpose","integrate, amalgamate, unify"
kindle,verb,c2,/ˈkɪndl̩/,/ˈkɪndl̩/,"Ignite, cause to begin burning; incite, arouse, inflame",His words were meant to kindle hope and determination in the struggling team.,"Châm lửa, Thắp lên, Khơi dậy","ignite, foment, provoke","extinguish, quell, suppress"
kinetic,adjective,c2,/kɪˈnɛtɪk/,/kɪˈnɛtɪk/,Pertaining to motion,The kinetic energy of the rolling boulder was enough to flatten a small car.,"động, động học, thuộc về chuyển động","dynamic, motile, propulsive","static, inert, stagnant"
knell,noun,c2,/nɛl/,/nɛl/,"The sound made by a bell for a funeral, or any sad sound or signal of a failure, death, ending, etc. (noun); to make such a sound (verb)",The factory's closure sounded a death knell for the small town's economy.,"Hồi chuông báo tử, Tiếng chuông tang, Dấu hiệu kết thúc","demise, dirge, portent","genesis, renaissance, inauguration"
lachrymose,adjective,c2,/ˈlæk.rɪ.məʊs/,/ˈlæk.rə.moʊs/,"Tearful, mournful",Her lachrymose response to the sad news made everyone else feel somber.,"sướt mướt, u sầu, đẫm lệ","maudlin, lugubrious, doleful","jubilant, ebullient, exultant"
larceny,noun,c2,/ˈlɑːs.ə.ni/,/ˈlɑːr.sə.ni/,Theft,He was charged with grand larceny for the theft of a rare painting.,"Trộm cắp, Hành vi trộm cắp, Tội trộm cắp","embezzlement, misappropriation, peculation","restitution, reparation, indemnification"
largess/largesse,,c2,/lɑːˈʒes/,/lɑːrˈʒes/,"Generosity, the giving of money or gifts (esp. with the implication that the giver is a bit superior to the recipient)",,"Ban ơn, bố thí, thi ân","munificence, beneficence, patronage","parsimony, avarice, niggardliness"
latent,adjective,c2,/ˈleɪtənt/,/ˈleɪtənt/,Potential; existing but not visible or active,"The detective suspected that the evidence remained latent, hidden just beneath the surface of the crime scene.","Tiềm ẩn, Tiềm tàng, Ngủ yên","dormant, underlying, potential","manifest, overt, conspicuous"
laudable,adjective,c2,/ˈlɔːdəbl̩/,/ˈlɔːdəbl̩/,Worthy of praise,"Despite the challenges, her laudable efforts to raise money for the homeless charity paid off immensely.","Đáng khen, Đáng ca ngợi, Đáng tán dương","commendable, meritorious, exemplary","reprehensible, deplorable, ignominious"
lax,adjective,c2,/læks/,/læks/,"Not strict; careless, loose, slack",The company's lax security protocols made it vulnerable to cyber-attacks and data breaches.,"Lỏng lẻo, Dễ dãi, Cẩu thả","remiss, permissive, negligent","rigorous, scrupulous, stringent"
leery,adjective,c2,/ˈlɪəri/,/ˈlɪəri/,Suspicious or wary,"After several past disappointments, he was leery of making any new investments without thorough research.","Thận trọng, Đề phòng, Hoài nghi","skeptical, circumspect, distrustful","credulous, unsuspecting, trustful"
legerdemain,noun,c2,/ˌledʒədɪˈmeɪn/,/ˌlɛdʒərdɪˈmeɪn/,Slight-of-hand (magic as performed by a magician); trickery or deception,The street performer's impressive legerdemain involved making cards vanish and reappear with astonishing speed.,"ảo thuật, mánh khóe, thủ đoạn","chicanery, duplicity, machination","candor, probity, veracity"
lethargic,adjective,c2,/lɪˈθɑːdʒɪk/,/ləˈθɑrdʒɪk/,"Lazy, drowsy, or sluggish","After a long day of hiking, I felt lethargic and just wanted to rest.","Uể oải, Lờ đờ, Lười biếng","apathetic, torpid, indolent","vivacious, ebullient, zealous"
licentious,adjective,c2,/laɪˈsɛnʃəs/,/laɪˈsɛnʃəs/,Sexually unrestrained; immoral; ignoring the rules,The novel depicted the licentious lifestyle of the Roman emperors.,"phóng đãng, trụy lạc, hoang dâm","dissolute, debauched, profligate","principled, scrupulous, virtuous"
limpid,adjective,c2,/ˈlɪmpɪd/,/ˈlɪmpɪd/,"Clear, transparent; completely calm",The lake's water was so limpid that you could see the bottom clearly.,"Trong veo, trong trẻo, tĩnh lặng","pellucid, crystalline, lucid","opaque, turbid, nebulous"
lionize,verb,c2,/ˈlaɪənaɪz/,/ˈlaɪənaɪz/,Treat like a celebrity,Critics tend to lionize artists who push boundaries and defy convention.,"Thần tượng hóa, Tôn vinh, Ca tụng","extol, eulogize, acclaim","denigrate, vilify, disparage"
lissome,adjective,c2,/ˈlɪsəm/,/ˈlɪsəm/,"Flexible, supple, agile",The dancer's lissome movements were both graceful and powerful.,"mềm dẻo, linh hoạt, thanh thoát","lithe, nimble, pliant","rigid, inflexible, unyielding"
listless,adjective,c2,/ˈlɪst.ləs/,/ˈlɪst.ləs/,"Spiritless, lacking interest or energy","After a week of high fever, the child remained listless and without appetite.","Uể oải, lờ đờ, chán nản","apathetic, languid, enervated","ebullient, zealous, vivacious"
livid,adjective,c2,/ˈlɪv.ɪd/,/ˈlɪv.ɪd/,"Furiously angry, enraged",My mother was absolutely livid when she saw the mess we had made in the kitchen.,"Giận tím mặt, Nổi trận lôi đình, Sôi máu","incensed, furious, enraged","placid, serene, composed"
lugubrious,adjective,c2,/ljuːˈɡuː.bri.əs/,/luːˈɡuː.bri.əs/,"Mournful, gloomy (sometimes in an exaggerated way)",The lugubrious atmosphere of the old mansion was intensified by the constant rain.,"Thê lương, U sầu, Ảm đạm","melancholy, doleful, morose","exuberant, jubilant, sanguine"
lumber,verb,c2,/ˈlʌm.bə/,/ˈlʌm.bər/,"Walk in a heavy or clumsy way, sometimes due to being weighed down",The tired elephant began to lumber slowly through the dense jungle.,"lạch bạch, đi nặng nề, đi lù đù","plod, trudge, slog","glide, flit, dart"
luminous,adjective,c2,/ˈluː.mɪ.nəs/,/ˈluː.mɪ.nəs/,"Shining, radiant, well-lit; brilliant or enlightening",The deep-sea fish possessed luminous organs that helped it see in the dark abyss.,"Sáng, Phát sáng, Sáng suốt","radiant, effulgent, resplendent","obscure, murky, opaque"
lurid,adjective,c2,/ˈljʊərɪd/,/ˈlʊrɪd/,"Gruesome or excessively vivid; sensational, shocking, unrestrained","The tabloid newspaper printed a lurid account of the celebrity scandal, full of shocking details.","Giật gân, ghê rợn, trắng trợn","ghastly, macabre, flagrant","subdued, understated, tasteful"
machination/machinations,noun,c2,/ˌmæʃ.ɪˈneɪ.ʃən/,/ˌmæk.əˈneɪ.ʃən/,Crafty schemes or plots,The spy's machinations to undermine the government were eventually exposed.,"Âm mưu, Mưu đồ, Thủ đoạn","conspiracy, stratagem, intrigue","candor, probity, transparency"
maelstrom,noun,c2,/ˈmeɪlstrɒm/,/ˈmeɪlstrəm/,"Violent whirlpool; any chaotic, turbulent situation","After the stock market crash, the economy was caught in a maelstrom of uncertainty and panic.","Vũng xoáy dữ dội, cơn lốc xoáy, tình thế hỗn loạn","turmoil, vortex, pandemonium","tranquility, serenity, equanimity"
magnanimous,adjective,c2,/mæɡˈnænɪməs/,/mæɡˈnænəməs/,"High-minded, noble, lofty; generous in forgiving others, free of resentment","Despite the harsh criticism, the magnanimous leader forgave his detractors and invited them to collaborate.","Cao thượng, Rộng lượng, Khoan dung","benevolent, altruistic, munificent","vindictive, pusillanimous, churlish"
magnate,noun,c2,/ˈmæɡneɪt/,/ˈmæɡneɪt/,"Very important or influential person, esp. in business",The tech magnate announced a multi-billion dollar investment in renewable energy.,"Ông trùm, Đại gia, Trùm tư bản","tycoon, mogul, baron","nonentity, pauper, plebeian"
malediction,noun,c2,/ˌmælɪˈdɪkʃən/,/ˌmælɪˈdɪkʃən/,A curse,The ancient priest pronounced a dire malediction upon anyone who dared disturb the tomb.,"Lời nguyền,Nguyền rủa,Ám chú","anathema, execration, imprecation","benediction, eulogy, panegyric"
malinger,verb,c2,/məˈlɪŋɡə/,/məˈlɪŋɡər/,"Pretend to be sick, esp. to get out of work, duties, etc.","He was accused of malingering to avoid his share of the chores, claiming a sudden headache.","Giả bệnh, Đổ bệnh, Làm bộ ốm","feign, sham, dodge","persevere, toil, endure"
manifest,verb,c2,/ˈmænɪfest/,/ˈmænɪfest/,"Obvious, apparent, perceptible to the eye (adj); to show, make clear, or prove (verb)",Her excitement began to manifest itself in a wide smile and sparkling eyes.,"Rõ ràng, Biểu hiện, Thể hiện","evident, palpable, overt","obscure, latent, covert"
mannered,adjective,c2,/ˈmænəd/,/ˈmænərd/,"Having a particular manner, esp. an artificial one",His mannered gestures and overly precise speech made him seem somewhat artificial and detached.,"Điệu đà, Khách sáo, Cầu kỳ","affected, pretentious, stilted","unpretentious, spontaneous, unaffected"
mar,verb,c2,/mɑː/,/mɑːr/,"Damage, spoil, ruin",A single scratch could mar the pristine surface of the newly polished table.,"Làm hỏng, Hủy hoại, Làm xấu","impair, vitiate, tarnish","enhance, ameliorate, rectify"
martinet,noun,c2,/ˌmɑːtɪˈnet/,/ˌmɑːrtɪˈnɛt/,Person who adheres to rules extremely closely; strict disciplinarian,"The drill sergeant was a martinet, enforcing every rule with unyielding strictness.","Người kỷ luật thép, Người quá nguyên tắc, Người cứng nhắc","stickler, taskmaster, authoritarian","laxist, maverick, liberal"
maudlin,adjective,c2,/ˈmɔːdlɪn/,/ˈmɔːdlɪn/,"Excessively sentimental, showing sadness or some other emotion in a foolish or silly way","After a few drinks, he became maudlin, weeping over old photographs and expressing excessive self-pity.","Ủy mị, mít ướt, đa sầu đa cảm","lachrymose, mawkish, histrionic","stoic, dispassionate, pragmatic"
maxim,noun,c2,/ˈmæksɪm/,/ˈmæksɪm/,"A general truth or fundamental principle, esp. expressed as a proverb or saying",Look before you leap'' is a well-known maxim that advises caution.,"châm ngôn, phương châm, nguyên tắc","aphorism, adage, precept","fallacy, aberration, misconception"
mendicant,noun,c2,/ˈmendɪkənt/,/ˈmendɪkənt/,"Beggar, or religious follower who lives by begging","The mendicant often sat by the church gates, asking passersby for spare change.","Người ăn xin, Khất sĩ, Kẻ hành khất","almsman, vagrant, supplicant","philanthropist, benefactor, plutocrat"
meretricious,adjective,c2,/ˌmerɪˈtrɪʃəs/,/ˌmerɪˈtrɪʃəs/,"Attractive in a vulgar or flashy way, tawdry; deceptive","The meretricious decorations, though glittery, lacked any genuine artistic value or substance.","Hào nhoáng, Rẻ tiền, Giả dối","tawdry, gaudy, specious","authentic, unpretentious, understated"
metaphysical,adjective,c2,/ˌmɛtəˈfɪzɪkəl/,/ˌmɛtəˈfɪzɪkəl/,"Concerned with abstract thought, related to metaphysics (branch of philosophy concerned with explaining the nature of being and of the world); very subtle or abstruse",Her novel explores profound metaphysical themes of identity and consciousness.,"siêu hình, trừu tượng, thâm thúy","abstruse, esoteric, transcendent","empirical, tangible, corporeal"
milieu,noun,c2,/mɪlˈjɜː/,/mɪlˈjuː/,"Environment, atmosphere; the environmental setting in which something happens or develops",The painter's unique style was deeply influenced by the artistic milieu of his youth.,"Môi trường, Bối cảnh, Không khí","ambiance, ecosystem, sphere","isolation, vacuum, detachment"
militate,verb,c2,/ˈmɪlɪteɪt/,/ˈmɪlɪteɪt/,"Have a great effect, weigh heavily (often as militate against)",His poor grades militate against his acceptance into a top university.,"Gây bất lợi, ngăn trở, có tác động tiêu cực","preclude, impede, thwart","facilitate, promote, bolster"
mired,adjective,c2,/maɪəd/,/maɪərd/,"Stuck, entangled (in something, like a swamp or muddy area), soiled",The company found itself mired in a lengthy legal battle.,"Sa lầy, Lún sâu, Lấm lem","embroiled, ensnared, bogged down","extricated, unencumbered, unfettered"
mirth,noun,c2,/mɜːθ/,/mɜːrθ/,"Jollity, merriment; amusement or laughter",The children's uninhibited mirth echoed through the park.,"Sự vui vẻ, Sự hân hoan, Sự vui nhộn","Jollity, Merriment, Hilarity","Melancholy, Despondency, Moroseness"
misanthrope/misanthropist,noun,c2,/ˈmɪs.ən.θrəʊp/,/ˈmɪs.ən.θroʊp/,Hater of humankind,"The old recluse was a known misanthrope, avoiding all social interaction and preferring the company of his books.","Người ghét nhân loại, Kẻ căm ghét loài người, Người chán ghét con người","cynic, pessimist, recluse","philanthropist, altruist, humanitarian"
missive,noun,c2,/ˈmɪsɪv/,/ˈmɪsɪv/,"Letter, written message",The ambassador delivered a crucial missive from his government to the head of state.,"Thư, bức thư, công văn","correspondence, dispatch, communiqué","utterance, colloquy, reticence"
modicum,noun,c2,/ˈmɒdɪkəm/,/ˈmɑːdɪkəm/,A little bit or limited quantity,"Despite facing immense pressure, she managed to maintain a modicum of composure during the intense interview.","Một chút, Một ít, Số lượng nhỏ","scintilla, iota, smattering","plethora, profusion, surfeit"
modish,adjective,c2,/ˈməʊdɪʃ/,/ˈmoʊdɪʃ/,"Stylish, contemporary",Her modish new hairstyle and accessories perfectly captured the latest trends from the fashion week.,"Sành điệu, Thời thượng, Hợp thời trang","chic, voguish, cutting-edge","antiquated, obsolete, archaic"
molt,verb,c2,/məʊlt/,/moʊlt/,"Shed or cast off, esp. to regularly shed skin, feathers, etc. (as a snake)",Many reptiles and birds will molt their old skin or feathers to make way for new growth.,"Lột xác, Thay lông, Thay da","slough, exuviate, deciduate","retain, accumulate, incorporate"
monastic,adjective,c2,/məˈnæstɪk/,/məˈnæstɪk/,"Relating to or resembling a monastery (where monks or nuns live), esp. by being quiet, secluded, contemplative, strict, and/or lacking luxuries","His simple, disciplined life in the remote cabin had a distinctly monastic quality.","khổ hạnh, kiểu tu viện, tĩnh mịch","ascetic, reclusive, austere","gregarious, hedonistic, opulent"
multifarious,adjective,c2,/ˌmʌltɪˈfeərɪəs/,/ˌmʌltɪˈfɛriəs/,"Diverse, having a lot of variety","The artist's multifarious talents included painting, sculpting, and composing music.","Đa dạng, Phong phú, Nhiều mặt","myriad, heterogeneous, manifold","homogeneous, uniform, monolithic"
munificent,adjective,c2,/mjuːˈnɪfɪsnt/,/mjuːˈnɪfɪsənt/,"Generous, giving liberally",The billionaire's munificent donation allowed the struggling hospital to build a new wing.,"Hào phóng, Đại lượng, Phóng khoáng","bountiful, lavish, magnanimous","parsimonious, avaricious, miserly"
myopic,adjective,c2,/maɪˈɒpɪk/,/maɪˈoʊpɪk/,"Near-sighted; lacking long-term thinking, short-sighted",The company's myopic focus on short-term profits prevented them from investing in long-term innovation.,"cận thị, thiển cận, nông cạn","short-sighted, improvident, parochial","farsighted, prescient, visionary"
nadir,noun,c2,/ˈneɪdɪə/,/ˈneɪdər/,Lowest point,"The company reached its financial nadir during the recession, almost declaring bankruptcy.","Đáy, Điểm thấp nhất, Điểm cực tiểu","Perigee, Trough, Abyss","Zenith, Apex, Acme"
neologism,noun,c2,/niːˈɒlədʒɪzəm/,/niːˈɑːlədʒɪzəm/,New word or phrase (or a new meaning applied to an existing word or phrase),"The word 'podcast' was once a neologism, but it has now become a widely accepted term.","Từ mới, Từ ngữ mới, Thuật ngữ mới","Coinage, Lexical innovation, Nonce word","Archaism, Obsolete word, Established term"
neophyte,noun,c2,/ˈniːəfaɪt/,/ˈniːəfaɪt/,"Beginner, novice; person newly converted to a religion","As a neophyte in the kitchen, she struggled to follow even the simplest recipes.","Tân binh, Tân tín hữu, Người mới nhập môn","tyro, fledgling, initiate","veteran, doyen, connoisseur"
nettle,verb,c2,/ˈnetl̩/,/ˈnetl̩/,"Irritate, sting, or annoy","His constant interruptions began to nettle his colleagues, causing them to lose focus.","Chọc tức, Châm chọc, Cà khịa","exasperate, vex, pique","appease, mollify, assuage"
noisome,adjective,c2,/ˈnɔɪsəm/,/ˈnɔɪsəm/,"Offensive, disgusting; harmful",The noisome odor emanating from the garbage dump was unbearable.,"Hôi thối, độc hại, ghê tởm","repugnant, pernicious, abhorrent","salubrious, delectable, benign"
nominal,adjective,c2,/ˈnɒmɪnəl/,/ˈnɑːmɪnəl/,"Trivial, so small as to be unimportant; in name only, so-called","Despite being the nominal leader, the vice president held little actual power.","Trên danh nghĩa, không đáng kể, hư danh","insignificant, token, titular","substantial, veritable, consequential"
nontrivial,adjective,c2,/ˌnɒnˈtrɪviəl/,/ˌnɑːnˈtrɪviəl/,Important or big enough to matter,Finding a solution to the climate crisis is a nontrivial challenge.,"Đáng kể, Quan trọng, Không tầm thường","substantial, consequential, momentous","inconsequential, negligible, frivolous"
normative,adjective,c2,/ˈnɔːmətɪv/,/ˈnɔːrmətɪv/,Implying or attempting to establish a norm; expressing value judgments or telling people what to do (rather than merely describing that which is happening),The study provides a normative framework for ethical decision-making.,"chuẩn mực, mang tính quy phạm, có tính định hướng","prescriptive, evaluative, regulative","descriptive, objective, empirical"
obdurate,adjective,c2,/ˈɒbdjʊrət/,/ˈɑːbdərət/,"Stubborn, hardhearted, hardened in wrongdoing",The dictator remained obdurate in his refusal to negotiate with the rebels.,"ngoan cố, cố chấp, chai lì","intransigent, adamant, recalcitrant","amenable, penitent, tractable"
oblique,adjective,c2,/əˈbliːk/,/oʊˈbliːk/,"Slanting or sloping; indirect, misleading, or evasive",He made an oblique reference to the problem without directly mentioning it.,"Nghiêng, Xiên, Gián tiếp","circuitous, evasive, askew","forthright, unequivocal, perpendicular"
occlude,verb,c2,/əˈkluːd/,/əˈkluːd/,"Stop up, close, shut in or shut off","A blood clot can occlude an artery, blocking the flow of blood.","Tắc, Bít, Chặn","obstruct, impede, constrict","facilitate, expedite, disencumber"
opine,verb,c2,/əˈpaɪn/,/oʊˈpaɪn/,Express an opinion,The experts were asked to opine on the future of the economy.,"Bày tỏ ý kiến, Phát biểu ý kiến, Cho rằng","assert, contend, aver","equivocate, recant, prevaricate"
opprobrium,noun,c2,/əˈprəʊbriəm/,/əˈproʊbriəm/,Disgrace and disapproval that result from outrageously shameful actions,The politician faced widespread opprobrium for his corrupt actions.,"Sự ô nhục, Sự lên án, Tai tiếng","ignominy, obloquy, censure","laudation, acclaim, veneration"
orotund,adjective,c2,/ˈɒrətʌnd/,/ˈɔːrətʌnd/,"Full, rich, and clear (of the voice or speaking); pompous, bombastic",He delivered his speech in an orotund voice that resonated through the hall.,"Vang, hùng hồn, khoa trương","magniloquent, sonorous, bombastic","laconic, pithy, unpretentious"
ossify,verb,c2,/ˈɒsɪfaɪ/,/ˈɑːsɪfaɪ/,"Become bone or become hard like bone; become inflexible in attitudes, opinions, etc.","Without new ideas, the organization's structure will ossify and become resistant to change.","cốt hóa, hóa xương, cứng nhắc","rigidify, fossilize, entrench","plasticize, revitalize, innovate"
ostensible or ostensive,adjective,c2,/ɒˈstɛnsəbl/ or /ɒˈstɛnsɪv/,/ɑːˈstɛnsəbl/ or /ɑːˈstɛnsɪv/,"Professed, evident, or pretended; outwardly appearing in a certain way","The ostensible reason for his absence was a sudden illness, but many suspected he was avoiding the tough questions.","Bề ngoài, danh nghĩa, có vẻ","purported, specious, apparent","veritable, intrinsic, underlying"
ostentatious,adjective,c2,/ˌɒstɛnˈteɪʃəs/,/ˌɑːstɛnˈteɪʃəs/,"Pretentious, boastful showiness",His ostentatious display of wealth included multiple sports cars and a watch encrusted with diamonds.,"Phô trương, Khoa trương, Lòe loẹt","Flamboyant, Grandiose, Pompous","Unpretentious, Understated, Reserved"
overwrought,adjective,c2,/ˌəʊvəˈrɔːt/,/ˌoʊvərˈrɔːt/,"Overly nervous, agitated, or excited; too ornate, elaborate, or fussy; overdone",She became overwrought with worry when her son didn't answer his phone for hours.,"Quá căng thẳng, Quá cầu kỳ, Thái quá","distraught, frenzied, hysterical","composed, serene, imperturbable"
palatial,adjective,c2,/pəˈleɪʃəl/,/pəˈleɪʃəl/,"Suitable for or resembling a palace, magnificent","They lived in a palatial mansion, complete with dozens of rooms and vast, manicured gardens.","Lộng lẫy, Hoành tráng, Tráng lệ","grandiose, opulent, sumptuous","spartan, austere, unostentatious"
palliate,verb,c2,/ˈpælieɪt/,/ˈpælieɪt/,Make less serious or severe; relieve symptoms of an illness,"While the doctor couldn't cure the chronic disease, he could prescribe medication to palliate the symptoms and make the patient more comfortable.","Làm dịu, Giảm nhẹ, Làm thuyên giảm","alleviate, mitigate, assuage","exacerbate, aggravate, intensify"
pallid,adjective,c2,/ˈpælɪd/,/ˈpælɪd/,Abnormally pale (as skin); lacking color or vitality,"Her long illness left her with a pallid complexion, making her look quite frail.","Xanh xao, Tái nhợt, Nhợt nhạt","ashen, wan, cadaverous","ruddy, florid, vibrant"
panache,noun,c2,/pəˈnæʃ/,/pəˈnæʃ/,"Flair, style, swagger; a flamboyant or grand way of acting",The young actor delivered his lines with such panache that he instantly won over the audience.,"Phong cách, Hào hoa, Tự tin","flair, élan, verve","drabness, austerity, unpretentiousness"
panegyric,noun,c2,/ˌpænɪˈdʒɪrɪk/,/ˌpænɪˈdʒɪrɪk/,Formal or lofty expression of praise,The keynote speaker delivered a heartfelt panegyric on the retiring professor's distinguished career.,"Bài tán dương, Bài ngợi ca, Lời ca tụng","Encomium, Eulogy, Laudation","Censure, Denunciation, Vituperation"
panoply,noun,c2,/ˈpænəpli/,/ˈpænəpli/,"Splendid, wide-ranging, impressive display or array","The queen arrived in a grand procession, escorted by a full panoply of guards and ceremonial banners.","Kho tàng, bộ sưu tập, dải","cornucopia, profusion, assemblage","paucity, dearth, meagerness"
paragon,noun,c2,/ˈpærəɡən/,/ˈpærəɡɑːn/,"Model of excellence, perfect example","He was held up as a paragon of virtue, a perfect example of integrity and hard work.","Mẫu mực, Điển hình, Tấm gương sáng","epitome, quintessence, archetype","abomination, disgrace, blot"
pare,verb,c2,/peə/,/pɛər/,"Peel or cut off the outer layer (such as peeling fruit with a knife), reduce or trim as if cutting off the outer parts","To save money, the company decided to pare down its operating expenses significantly.","gọt, cắt giảm, đẽo","curtail, prune, abridge","augment, amplify, proliferate"
parley,verb,c2,/ˈpɑːli/,/ˈpɑːrli/,"Discussion, negotiation, esp. between enemies (noun); to have such a discussion (verb)",The diplomats agreed to parley for several hours to discuss a potential peace treaty.,"Đàm phán, Thương lượng, Hội đàm","negotiation, deliberation, consultation","confrontation, hostilities, estrangement"
parry,verb,c2,/ˈpæri/,/ˈpæri/,Deflect or avoid (esp. a blow or attack); skillfully evade (a question),The quick-witted speaker managed to parry every challenging question from the audience with a clever retort.,"Gạt, Né, Lảng tránh","deflect, evade, repel","confront, succumb, engage"
pastiche,noun,c2,/pæˈstiːʃ/,/pæˈstiːʃ/,"Mix of incongruous parts; artistic work imitating the work of other artists, often satirically","His latest novel is a pastiche of several classic detective stories, blended with modern psychological insights.","Tạp nham, Hỗn dung, Phỏng tác","hodgepodge, melange, eclecticism","originality, cohesion, authenticity"
pathogenic,adjective,c2,/ˌpæθəˈdʒɛnɪk/,/ˌpæθəˈdʒɛnɪk/,Capable of producing disease,Researchers are working to develop new treatments for pathogenic bacteria that are resistant to current antibiotics.,"Gây bệnh, Sinh bệnh, Có khả năng gây bệnh","virulent, morbific, noxious","benign, innocuous, salubrious"
pedant,noun,c2,/ˈpɛdnt/,/ˈpɛdənt/,"Person who pays excessive attention to book learning and rules, or who uses his or her learning to show off","The professor was a pedant, often interrupting lectures to correct minor grammatical errors rather than focusing on the main topic.","câu nệ, người hay bới lông tìm vết, người hay chữ nghĩa","pundit, dogmatist, formalist","pragmatist, innovator, visionary"
peddle,verb,c2,/ˈpɛdl/,/ˈpɛdl/,Travel around while selling; sell illegally; give out or disseminate,"Street vendors often peddle their wares, from souvenirs to snacks, to tourists in the city center.","bán dạo, buôn lậu, truyền bá","disseminate, traffic, hawk","suppress, withhold, acquire"
pejorative,adjective,c2,/pɪˈdʒɒrətɪv/,/pɪˈdʒɔːrətɪv/,"Disparaging, derogatory, belittling (adj); a name or word that is disparaging (noun)","""Ignoramus"" is a pejorative term used to describe someone who is ignorant.","miệt thị, khinh thường, biếm thấp","derogatory, disparaging, contemptuous","laudatory, eulogistic, commendatory"
